project,file,id,line,column,original,replacement,coding,temperature,label
crawler-url-parser,crawler-url-parser.js,113,102,36,f (urlMap.has(currentUrl.url)),{},Behavioral Change,Stryker,0
q,q.js,502,766,62,"or (var i = 0, len = answerPs.length; i < len; i++)",{},Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,260,210,12,"GeoPoint.calculateBearing(this, point)","GeoPoint.calculateBearing(point, this)",Behavioral Change,LLMorpheus,0
plural,index.js,61,23,9,/thesis|crisis/i,/thesis|crisis|thesis|crisis/i,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,102,151,15,buffer.length,false,Behavioral Change,Stryker,0
pull-stream,throughs/through.js,710,15,10,end,end || true,Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,250,189,41,"this.emit('error', err)","this.emit('error', new Error('Something went wrong'))",Behavioral Change,LLMorpheus,0
pull-stream,sinks/drain.js,92,27,38,true,false,Behavioral Change,Stryker,0
image-downloader,index.js,43,20,46,decodedBasename,decodedBasename.toLowerCase(),Behavioral Change,LLMorpheus,0
q,q.js,290,398,9,"object_defineProperty(error, ""stack"", {value: stack, configurable: true})","object_defineProperty(error, ""stack"", {
  value: stack,
  writable: false
})",Behavioral Change,LLMorpheus,0
q,q.js,1649,1819,19,fulfilled,progressed,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,158,126,17,!rowStr,rowStr.length === 0,Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,92,139,22,'',"""Stryker was here!""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,272,219,39,this,undefined,Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,94,67,18,min > 0,true,Behavioral Change,Stryker,0
q,q.js,848,1521,3,"""try""","""""",Behavioral Change,Stryker,0
delta,src/Delta.ts,687,570,5,typeof module === 'object',typeof module === 'undefined',Behavioral Change,LLMorpheus,0
plural,index.js,51,34,16,'s',"""""",Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,207,147,17,"pageurl_path.replace(/\/index\.[a-z]+$/, '/')","pageurl_path.replace(/\/index\.[a-z]+$/, ' ')",Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,35,47,49,true,,Behavioral Change,LLMorpheus,0
plural,index.js,129,67,9,/ics$/i,/ics/i,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,263,210,38,this,undefined,Behavioral Change,LLMorpheus,0
q,q.js,483,717,34,.passByCopy = function (object),{},Behavioral Change,Stryker,0
plural,index.js,266,84,55,word,word.slice(1),Behavioral Change,LLMorpheus,0
Complex.js,complex.js,956,1068,20,'re',"""""",Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,4,12,20,/^[a-zA-Z0-9_/:~.$+*-]*$/,/^[a-zA-Z0-9_/:~.$+*-]*$/i,Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,39,39,20,() => { if (cb) cb(); this.emit('drain'); },"() => {
  if (cb) cb();
  this.emit('drain', this);
}",Equivalent,LLMorpheus,1
crawler-url-parser,crawler-url-parser.js,3,8,12,true,false,Equivalent,Stryker,1
delta,src/Delta.ts,317,310,13,"isEqual(delta.ops[delta.ops.length - 1], newOp)","isEqual(delta.ops[delta.ops.length - 2], newOp)",Behavioral Change,LLMorpheus,0
node-jsonfile,index.js,46,50,41,options,options.throws,Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,61,90,49,"(acc, seg) => seg + acc","(acc, seg) => seg.concat(acc)",Equivalent,LLMorpheus,1
node-jsonfile,utils.js,149,11,26,/^\uFEFF/,/^\uFEFF/i,Equivalent,LLMorpheus,1
pull-stream,throughs/flatten.js,551,13,16,err || abort,err || !abort,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,91,138,44,`Could not load corrupted row: ${rowStr}`,``,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,44,92,9,this._writeStream,true,Behavioral Change,Stryker,0
delta,src/Delta.ts,157,141,15,typeof newOp.attributes === 'object',newOp.attributes !== undefined,Equivalent,LLMorpheus,1
spacl-core,src/rule.ts,220,65,9,count > 0,count !== 0,Equivalent,LLMorpheus,1
pull-stream,throughs/take.js,371,19,26,err || true,true,Behavioral Change,Stryker,0
pull-stream,sinks/reduce.js,175,16,27,end === true,false,Behavioral Change,Stryker,0
pull-stream,pull.js,84,24,41,ref[1],ref[0],Behavioral Change,LLMorpheus,0
plural,index.js,4,6,41,obj,obj.valueOf(),Equivalent,LLMorpheus,1
pull-stream,pull.js,4,5,7,typeof a === 'function',true,Behavioral Change,Stryker,0
q,q.js,884,1598,29,--pendingCount === 0,--pendingCount !== 0,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,250,165,8,linkurl_path.includes(pageurl_path),linkurl_path.startsWith(pageurl_path),Behavioral Change,LLMorpheus,0
Complex.js,complex.js,762,816,19,-1,+1,Behavioral Change,Stryker,0
q,q.js,125,210,16,"typeof MessageChannel !== ""undefined""",false,Behavioral Change,Stryker,0
countries-and-timezones,src/build-timezone.js,56,30,17,Math.floor,Math.trunc,Behavioral Change,LLMorpheus,0
plural,index.js,169,49,47,"w.replace(/a/, 'e')","w.replace(/a/g, 'e')",Equivalent,LLMorpheus,1
node-geo-point,src/geo-point.ts,274,219,45,point,point.longitude,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,96,110,17,r > 1 ? 1 : r,r < 0 ? 0 : r,Behavioral Change,LLMorpheus,0
pull-stream,throughs/through.js,721,17,27,data,undefined,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,67,72,9,!Array.isArray(point.coordinates) || point.coordinates.length !== 2,false,Behavioral Change,Stryker,0
q,q.js,1049,1228,16,Q,Q.reject,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,114,104,9,!tmpUrl.text.includes(text),tmpUrl.text.includes(text),Behavioral Change,Stryker,0
plural,index.js,169,84,34,'Function',"""""",Behavioral Change,Stryker,0
pull-stream,throughs/filter.js,288,13,16,true,false,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,99,97,7,"typeof href == ""undefined"" || href.length < 3","typeof href == ""undefined"" && href.length < 3",Behavioral Change,Stryker,0
delta,src/Delta.ts,324,310,21,delta.ops[delta.ops.length - 1],delta.ops[Math.floor(Math.random() * delta.ops.length)],Behavioral Change,LLMorpheus,0
q,q.js,393,485,16,"callback.apply(callback, arguments)","callback.apply(callback, arguments[0])",Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,4,42,9,latitude < -90 || latitude > 90,latitude < -90 || latitude > 90 || latitude === 90,Behavioral Change,LLMorpheus,0
delta,src/AttributeMap.ts,6,14,32,f (typeof a !== 'object'),{},Equivalent,Stryker,1
pull-stream,sources/once.js,356,10,10,,'',Behavioral Change,LLMorpheus,0
plural,index.js,59,42,9,'cello',"""""",Behavioral Change,Stryker,0
pull-stream,throughs/through.js,404,10,11,abort === true,abort !== true,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,38,40,43,'',"""Stryker was here!""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,211,157,30,x,Math.sin(x),Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,24,42,9,latitude < -90,false,Behavioral Change,Stryker,0
countries-and-timezones,src/index.js,175,49,18,"getCountriesForTimezone(tzName, options)","getCountriesForTimezone(tzName, options, null)",Equivalent,LLMorpheus,1
crawler-url-parser,crawler-url-parser.js,153,147,93,'/',"""""",Behavioral Change,Stryker,0
Complex.js,complex.js,987,1082,12,b !== 0,true,Behavioral Change,Stryker,0
Complex.js,complex.js,83,106,12,a * Math.sqrt(1 + b * b),a / Math.sqrt(1 + b * b),Behavioral Change,Stryker,0
delta,src/Delta.ts,359,245,7,,{},Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,36,87,29,this._inFlightWrites > 0,false,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,115,104,9,!tmpUrl.text.includes(text),true,Behavioral Change,Stryker,0
plural,index.js,261,84,21,rule[1],rule[0],Behavioral Change,LLMorpheus,0
pull-stream,sinks/drain.js,89,27,23,end && end !== true,end || end !== true,Behavioral Change,Stryker,0
delta,src/AttributeMap.ts,41,44,9,typeof b !== 'object',false,Equivalent,Stryker,1
delta,src/Delta.ts,99,51,9,!handler,handler === undefined,Equivalent,LLMorpheus,1
spacl-core,src/matcher.ts,16,26,9,spec.match(/[^/]:|:\/|:$/) !== null,spec.match(/[^/]:|:\/|:$/) !== null && spec.match(/[^/]:|:\/|:$/) !== undefined,Equivalent,LLMorpheus,1
spacl-core,src/matcher.ts,82,111,24,/:.+/,/:.?/,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,912,1007,38,2 * a,2 / a,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,10,60,9,!isObject(point),point.coordinates.length !== 2,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,82,8,44,0,-1,Behavioral Change,LLMorpheus,0
spacl-core,src/policymap.ts,161,30,22,path,path.toLowerCase(),Behavioral Change,LLMorpheus,0
plural,index.js,278,105,27,num,0,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,683,557,18,nextType === 'insert' && (offset < index || !priority),nextType === 'insert' && (offset > index || !priority),Behavioral Change,LLMorpheus,0
countries-and-timezones,src/build-country.js,18,32,11,!result[country],result[country] === undefined,Equivalent,LLMorpheus,1
q,q.js,1634,1800,14,object,0,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,113,166,26,'drain',"""""",Behavioral Change,Stryker,0
q,q.js,968,1822,9,"typeof process === ""object"" && process && process.domain","typeof process === ""object"" && process || process.domain",Behavioral Change,Stryker,0
delta,src/Delta.ts,385,365,27,otherIter.next(opLength),otherIter.next(opLength * 2),Behavioral Change,LLMorpheus,0
plural,index.js,268,103,7,String.prototype.plural === undefined,"String.prototype.plural = function (num) {
  return num > 1 ? this + 's' : this;
}",Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,136,144,51,"""""","""Stryker was here!""",Behavioral Change,Stryker,0
pull-stream,sources/count.js,295,9,5,"cb(null, i++)","cb(undefined, i++)",Behavioral Change,LLMorpheus,0
plural,index.js,56,40,22,'bacteria',"""""",Behavioral Change,Stryker,0
q,q.js,1471,1604,25,deferred.notify,deferred.resolve,Behavioral Change,LLMorpheus,0
plural,index.js,273,105,14,"plural(this, num)","plural(num + 1, this)",Behavioral Change,LLMorpheus,0
Complex.js,complex.js,293,334,11,this['isInfinite']() && z['isInfinite'](),this['isInfinite']() || z['isInfinite'](),Behavioral Change,LLMorpheus,0
q,q.js,1800,1951,11,callback,,Behavioral Change,LLMorpheus,0
q,q.js,949,1781,39,eturn this.then(function (value),{},Behavioral Change,Stryker,0
delta,src/Delta.ts,436,407,12,iter.hasNext(),iter.hasNext() && iter.peekLength() > 0,Equivalent,LLMorpheus,1
Complex.js,complex.js,231,243,28,parseFloat,Number,Behavioral Change,LLMorpheus,0
image-downloader,index.js,46,24,7,!path.isAbsolute(options.dest),path.isAbsolute(options.dest),Behavioral Change,LLMorpheus,0
q,q.js,1658,1823,48,onUnhandledError,onUnhandledError.apply(null),Behavioral Change,LLMorpheus,0
pull-stream,throughs/map.js,607,7,6,!mapper,mapper !== mapper,Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,38,39,30,string.endsWith,string.indexOf,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,1009,1131,11,b === 0,a === 0,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,27,72,9,!Array.isArray(point.coordinates) || point.coordinates.length !== 2,point.coordinates.length > 2,Behavioral Change,LLMorpheus,0
countries-and-timezones,src/build-country.js,6,18,7,!timezonesMap,timezonesMap === undefined,Equivalent,LLMorpheus,1
Complex.js,complex.js,866,905,23,-b,+b,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,22,42,9,latitude < -90 || latitude > 90,false,Behavioral Change,Stryker,0
delta,src/Op.ts,694,18,16,typeof op.retain === 'object' && op.retain !== null,typeof op.retain === 'string',Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,222,169,50,'drain','close',Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,322,310,21,delta.ops[delta.ops.length - 1],delta.ops[0],Behavioral Change,LLMorpheus,0
Complex.js,complex.js,407,484,34,"Math.pow(b, z['re'])","Math.pow(b, z['re'] + 1)",Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,195,151,33,cos,sin,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,626,498,28,f (thisOp.delete),{},Behavioral Change,Stryker,0
pull-stream,pull.js,43,42,16,s && typeof s === 'object',true,Behavioral Change,Stryker,0
delta,src/Delta.ts,486,349,49,'with',"""""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,255,201,48,distance,distance / 2,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,46,92,50,() => this._writeStream.destroy(),() => undefined,Behavioral Change,Stryker,0
Complex.js,complex.js,769,749,10,Math.cos,Math.tan,Behavioral Change,LLMorpheus,0
node-jsonfile,index.js,47,50,41,options,options.reviver,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,482,349,24,delta === other,true,Behavioral Change,Stryker,0
delta,src/Delta.ts,257,254,11,firstOther.retain - firstLeft > 0,firstOther.retain - firstLeft !== 0,Behavioral Change,LLMorpheus,0
plural,index.js,50,22,71,w.substr,w.substring,Equivalent,LLMorpheus,1
image-downloader,index.js,4,6,12,Promise.reject,Promise.all,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,35,85,9,!isObject(object),object.constructor !== Object,Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,71,122,15,chunk.lastIndexOf('\n') === -1,false,Behavioral Change,Stryker,0
q,q.js,455,570,55,resolvedPromise,,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,363,248,9,thisIter.peekType() === 'insert',thisIter.peekType() !== 'insert',Behavioral Change,Stryker,0
q,q.js,806,1389,69,"eturn spread([this, all(arguments)], function (self, args)",{},Behavioral Change,Stryker,0
countries-and-timezones,src/index.js,139,77,16,xport default,{},Behavioral Change,Stryker,0
node-jsonfile,index.js,110,78,38,options,undefined,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,254,201,48,distance,distance * 2,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,104,152,23,'error',"""""",Behavioral Change,Stryker,0
image-downloader,index.js,21,14,23,options.dest,options.dest.split('/').pop(),Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,21,40,35,/#.*$/,/^#.*$/,Equivalent,LLMorpheus,1
q,q.js,1542,1683,20,"array_map(promises, Q)","array_map(promises, Q.reject)",Behavioral Change,LLMorpheus,0
Complex.js,complex.js,730,730,28,b,b + 1,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,41,89,9,!object.hasOwnProperty('latitude') || !object.hasOwnProperty('longitude'),object.latitude === undefined || object.longitude === undefined,Equivalent,LLMorpheus,1
Complex.js,complex.js,1081,1169,11,-b / d,-b * d,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,96,87,9,this._queue.size || this._inFlightWrites > 0,this._queue.size && this._inFlightWrites > 0,Behavioral Change,LLMorpheus,0
image-downloader,lib/request.js,34,13,26,'Request Failed.\n',"""""",Behavioral Change,Stryker,0
image-downloader,index.js,6,6,27,new Error('The options.url is required'),new Error('The options.url is not a valid URL'),Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,34,22,9,/[*+][^/]|[^/][*+]/,/[^*+][^/]|[^/][*+]/,Behavioral Change,Stryker,0
plural,index.js,274,105,21,this,,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,116,168,11,!this._queue.size,this._queue.size,Behavioral Change,Stryker,0
plural,index.js,179,109,21,'Unable to add plural function to String object',"""""",Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,181,161,57,/(\/[^\/]*)[\/]?$/,/(\/[^\/]*)[^\/]?$/,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,55,106,55,"his._readStream = fs.createReadStream(this.path,",{},Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,112,102,8,urlMap.has(currentUrl.url),false,Behavioral Change,Stryker,0
q,q.js,175,291,32,index++,index = 0,Behavioral Change,LLMorpheus,0
plural,index.js,121,61,36,'heroic',"""""",Behavioral Change,Stryker,0
delta,src/Op.ts,692,18,16,typeof op.retain === 'object' && op.retain !== null,op.retain === null,Behavioral Change,LLMorpheus,0
pull-stream,util/prop.js,457,6,56,v && v[0],false,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,31,42,42,f (latitude < -90 || latitude > 90),{},Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,3,12,20,/^[a-zA-Z0-9_/:~.$+*-]*$/,/^[a-zA-Z0-9_/:~.$+*-]*$/g,Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,108,156,28,"on('close', () =>",{},Behavioral Change,Stryker,0
Complex.js,complex.js,643,612,11,b === 0 && a > 0,false,Equivalent,Stryker,1
plural,index.js,60,42,18,'cellos',"""""",Behavioral Change,Stryker,0
delta,src/Delta.ts,340,333,18,other.ops[0],other.ops[Math.floor(Math.random() * other.ops.length)],Behavioral Change,LLMorpheus,0
Complex.js,complex.js,1170,1283,43,'im',"""""",Behavioral Change,Stryker,0
delta,src/Delta.ts,210,204,11,elem.insert,elem.retain,Behavioral Change,LLMorpheus,0
delta,src/AttributeMap.ts,0,14,9,typeof a !== 'object',a === null,Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,54,29,20,/^.+\/$/,/.+\/$/,Equivalent,Stryker,1
spacl-core,src/matcher.ts,80,111,13,part.match(/:.+/) !== null,part.match(/:.+/) !== null && part.match(/:.+/) !== undefined,Equivalent,LLMorpheus,1
plural,index.js,69,23,48,w.substr,w.slice,Equivalent,LLMorpheus,1
delta,src/Delta.ts,374,364,24,Math.min,Math.abs,Behavioral Change,LLMorpheus,0
image-downloader,index.js,22,24,39,f (!path.isAbsolute(options.dest)),{},Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,103,88,26,() => this.close(),() => this.close(true),Equivalent,LLMorpheus,1
countries-and-timezones,src/index.js,98,17,7,totalTimezones !== memoizedTimezones,totalTimezones !== memoizedTimezones + 1,Behavioral Change,LLMorpheus,0
countries-and-timezones,src/index.js,204,64,9,!tzs[key].deprecated,tzs[key].deprecated !== true,Equivalent,LLMorpheus,1
q,q.js,532,825,13,"inspected.state === ""rejected""",false,Behavioral Change,Stryker,0
node-jsonfile,index.js,73,68,9,"universalify.fromCallback(fs.writeFile)(file, str, options)","universalify.fromCallback(fs.writeFile)(file, str, options.throws)",Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,263,167,8,pageurl_path.includes,pageurl_path.startsWith,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,1038,1226,25,10,Infinity,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,129,99,9,typeof length === 'number' && length <= 0,length === 0,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,26,72,9,!Array.isArray(point.coordinates) || point.coordinates.length !== 2,point.coordinates.length < 2,Behavioral Change,LLMorpheus,0
q,q.js,1875,1978,28,arguments,,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,968,1074,15,oneMinus * oneMinus + b * b,oneMinus * oneMinus - b * b,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,162,143,22,distance,distance + 1,Behavioral Change,LLMorpheus,0
pull-stream,pull.js,32,34,50,f (read && typeof read.source === 'function'),{},Behavioral Change,Stryker,0
q,q.js,43,58,78,"else if (typeof window !== ""undefined"" || typeof self !== ""undefined"")",{},Behavioral Change,Stryker,0
plural,index.js,96,28,9,/[^aeiouy]o$/i,/[^aeiouy]o$/,Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,68,39,52,f (string.length > 1 && string.endsWith('/')),{},Behavioral Change,Stryker,0
delta,src/Delta.ts,376,364,33,otherIter.peekLength(),otherIter.peekLength() + 1,Behavioral Change,LLMorpheus,0
plural,index.js,208,67,18,function(w) { return w },"function (w) {
  return w.toLowerCase();
}",Behavioral Change,LLMorpheus,0
plural,index.js,116,40,22,'bacteria','bacterium',Behavioral Change,LLMorpheus,0
countries-and-timezones,src/index.js,87,12,40,"getCountry(id, options)","getCountry(id, options, null)",Equivalent,LLMorpheus,1
q,q.js,777,1280,31,unction async(makeGenerator),{},Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,125,170,14,else,{},Behavioral Change,Stryker,0
pull-stream,sinks/find.js,231,22,8,err === true ? null : err,err ? err : null,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,383,365,27,otherIter.next(opLength),otherIter.next(opLength + 1),Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,96,97,7,"typeof href == ""undefined"" || href.length < 3 || /^(javascript|mailto:|ftp:)/ig.test(href)",false,Behavioral Change,Stryker,0
plural,index.js,47,33,24,w === 'roof',false,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,77,85,9,!isObject(object),false,Behavioral Change,Stryker,0
image-downloader,index.js,27,17,38,pathname,pathname.split('/').pop(),Equivalent,LLMorpheus,1
crawler-url-parser,crawler-url-parser.js,202,146,93,'/',' ',Behavioral Change,LLMorpheus,0
q,q.js,539,831,17,"inspected.state === ""pending""","inspected.state === ""pending"" && inspected.state === ""rejected""",Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,39,87,55,f (this._queue.size || this._inFlightWrites > 0),{},Behavioral Change,Stryker,0
Complex.js,complex.js,290,246,40,minus % 2,minus * 2,Behavioral Change,Stryker,0
pull-stream,pull.js,33,10,11,args == null,args.length === 0,Behavioral Change,LLMorpheus,0
pull-stream,util/prop.js,455,6,23,{ var v = key.exec(data); return v && v[0] },{},Behavioral Change,Stryker,0
plural,index.js,235,80,41,rule[0].test,rule[0].exec,Behavioral Change,LLMorpheus,0
q,q.js,829,1458,36,[key],[],Behavioral Change,Stryker,0
node-jsonfile,index.js,21,25,11,"JSON.parse(data, options ? options.reviver : null)","JSON.parse(data, options ? options.reviver : 'null')",Behavioral Change,LLMorpheus,0
q,queue.js,1056,27,40,"""Can't get value from closed queue""","""""",Behavioral Change,Stryker,0
image-downloader,lib/request.js,42,24,9,'error',"""""",Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,63,62,30,cb,() => {},Behavioral Change,LLMorpheus,0
q,q.js,674,825,13,"inspected.state === ""rejected""","inspected.state === ""fulfilled""",Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,164,143,22,distance,distance / 2,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,94,95,14,$(this).text().trim(),$(this).text(),Behavioral Change,Stryker,0
q,q.js,151,280,16,o,{},Behavioral Change,Stryker,0
spacl-core,src/rule.ts,195,35,24,verbs,verbs.filter(verb => verb !== 'GET'),Behavioral Change,LLMorpheus,0
q,q.js,49,75,12,else,{},Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,21,26,20,/[^/]:|:\/|:$/,/[^/]:|:\/|:$/i,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,698,570,5,typeof module === 'object',true,Behavioral Change,Stryker,0
q,q.js,538,662,17,progressListener,progressListeners[progressListeners.length - 1],Behavioral Change,LLMorpheus,0
pull-stream,throughs/async-map.js,493,39,23,,'',Behavioral Change,LLMorpheus,0
plural,index.js,272,105,14,"plural(this, num)","plural(num, this)",Behavioral Change,LLMorpheus,0
pull-stream,throughs/filter.js,524,16,41,"next(end, cb)","next(end, data)",Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,52,64,9,!point.hasOwnProperty('type') || !point.hasOwnProperty('coordinates'),false,Behavioral Change,Stryker,0
q,q.js,529,823,9,inspect,false,Behavioral Change,Stryker,0
delta,src/Op.ts,719,18,37,'object',"""""",Behavioral Change,Stryker,0
pull-stream,pull.js,19,10,25,f (args == null),{},Behavioral Change,Stryker,0
image-downloader,lib/request.js,35,14,26,`Status Code: ${res.statusCode}`,``,Behavioral Change,Stryker,0
plural,index.js,125,42,9,'cello','cellos',Behavioral Change,LLMorpheus,0
