application;name;url;issue/bug#;commit;file;line(s);orig code;fixed code;effect of the bug;classification of run1 mutants;;;;;;;run1;run2;run3;run4;run5;NOTE;;;
fast-xml-parser ;fast-xml-parser -234;https://github.com/NaturalIntelligence/fast-xml-parser;234;ea5d544;"
src/xmlstr2xmlnode.js";192;"        val = val.replace(/0+$/,"""");";"val = val.replace(/\.?0+$/, """");";"Failures:
1) XMLParser should parse number ending in .0 for parseTrueNumberOnly:true
  Message:
    Expected $.rootNode.floatTag0 = '0.' to equal 0.
    Expected $.rootNode.floatTag1 = '1.' to equal 1.
    Expected $.rootNode.floatTag2 = '2.' to equal 2.
    Expected $.rootNode.floatTag3['@_float'] = '3.' to equal 3.
  Stack:
    Error: Expected $.rootNode.floatTag0 = '0.' to equal 0.
    Expected $.rootNode.floatTag1 = '1.' to equal 1.
    Expected $.rootNode.floatTag2 = '2.' to equal 2.
    Expected $.rootNode.floatTag3['@_float'] = '3.' to equal 3.
        at <Jasmine>
        at UserContext.<anonymous> (/Users/franktip/git/mutation-testing-data/casestudy/fast-xml-parser-595/fast-xml-parser/spec/xmlParser_spec.js:109:24)
        at <Jasmine>";0;0;1;7;0;0;0;"OrigBug: 0
SameFail: 0
Superset: 1
Different: 7
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 8
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 6
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 5
Different: 7
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 8
Surviving: 0
Invalid: 0
Other: 0";;;;
fast-xml-parser ;fast-xml-parser -595;https://github.com/NaturalIntelligence/fast-xml-parser;595;b0ea635;src/xmlbuilder/json2xml.js;195;" let textValue = this.options.tagValueProcessor(key, val);
  textValue = this.replaceEntitiesValue(textValue);";"   const textValue = this.replaceEntitiesValue(val);";"Failures:
1) XMLBuilder should not double encode tag values
  Message:
    Expected '<a>
      <element>
        <subelement staticMessage=""bar"">foo &amp; bar</subelement>
      </element>
      <only_text_array>text &amp;amp; value</only_text_array>
      <regular_array f=""abc"">text &amp; value</regular_array>
      <only_text_obj>another text &amp;amp; val</only_text_obj>
    </a>
    ' to equal '<a>
      <element>
        <subelement staticMessage=""bar"">foo &amp; bar</subelement>
      </element>
      <only_text_array>text &amp; value</only_text_array>
      <regular_array f=""abc"">text &amp; value</regular_array>
      <only_text_obj>another text &amp; val</only_text_obj>
    </a>
    '.
  Stack:
    Error: Expected '<a>
      <element>
        <subelement staticMessage=""bar"">foo &amp; bar</subelement>
      </element>
      <only_text_array>text &amp;amp; value</only_text_array>
      <regular_array f=""abc"">text &amp; value</regular_array>
      <only_text_obj>another text &amp;amp; val</only_text_obj>
    </a>
    ' to equal '<a>
      <element>
        <subelement staticMessage=""bar"">foo &amp; bar</subelement>
      </element>
      <only_text_array>text &amp; value</only_text_array>
      <regular_array f=""abc"">text &amp; value</regular_array>
      <only_text_obj>another text &amp; val</only_text_obj>
    </a>
    '.
        at <Jasmine>
        at UserContext.<anonymous> (/Users/franktip/git/mutation-testing-data/casestudy/fast-xml-parser-595/fast-xml-parser/spec/j2x_spec.js:44:44)
        at <Jasmine>";0;1;0;3;0;0;0;"OrigBug: 0
SameFail: 1
Superset: 0
Different: 3
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 0
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 0
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 3
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 1
Surviving: 2
Invalid: 1
Other: 0";;;;
fs-extra;fs-extra-190;https://github.com/jprichardson/node-fs-extra;190;e05c685;lib/copy-sync/copy-file-sync.js;10,11;"if (fs.existsSync(destFile) && !clobber) {
    throw Error('EEXIST')
  }";"if (fs.existsSync(destFile)) {
    if (clobber) {
      fs.unlinkSync(destFile)
    } else {
      throw Error('EEXIST')
    }
  }";"1 failing

  1) + copySync() > when the source is a file > when clobber option is passed when destination file does exist > when clobber is true and dest is readonly should copy the file and not throw an error:
     Error: EACCES: permission denied, open '/var/folders/j4/2x58q84s1956w2z0t9l3sq6r0000gn/T/fs-extra/copy-sync/des-file'
      at Object.openSync (node:fs:574:18)
      at copyFileSync (lib/copy-sync/copy-file-sync.js:23:16)
      at Object.copySync (lib/copy-sync/copy-sync.js:31:7)
      at Context.<anonymous> (lib/copy-sync/__tests__/copy-sync-file.test.js:191:18)";0;0;2;5;1;0;0;"OrigBug: 0
SameFail: 0
Superset: 2
Different: 5
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 4
Different: 5
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 3
Different: 4
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 4
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 4
Different: 4
Surviving: 2
Invalid: 0
Other: 0";;;;
fs-extra;fs-extra-291;https://github.com/jprichardson/node-fs-extra;291;2e7f755;lib/copy/ncp.js;82;var target = file.name.replace(currentPath, targetPath);ar target = file.name.replace(currentPath, targetPath.replace('$', '$$$$')) // escapes '$' with '$$';" 1 failing

  1) fs-extra + copy() > when the source is a file should copy to a destination file with two '$' characters in name (eg: TEST_fs-extra_$$_copy):
     Uncaught Error: ENOENT: no such file or directory, stat '/var/folders/j4/2x58q84s1956w2z0t9l3sq6r0000gn/T/fs-extra/copy/TEST_fs-extra_$$_copy'
      at Object.statSync (node:fs:1667:25)
      at lib/copy/__tests__/copy.test.js:99:14
      at doneOne (lib/copy/ncp.js:237:40)
      at lib/copy/ncp.js:122:11
      at node_modules/graceful-fs/polyfills.js:254:20
      at FSReqCallback.oncomplete (node:fs:188:23)";0;0;5;8;0;0;0;"OrigBug: 0
SameFail: 0
Superset: 5
Different: 8
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 6
Different: 9
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 5
Different: 9
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 6
Different: 7
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 8
Different: 6
Surviving: 0
Invalid: 0
Other: 0";"NOTE: disable ""xo"" in ""npm run test"" script; disable failing tests for invalid URLs";;;
fs-extra;fs-extra-679;https://github.com/jprichardson/node-fs-extra;679;7c251d6;lib/util/stat.js;"107
====
136";"const destParent = path.dirname(dest)
if (destParent &&    (destParent === path.dirname(src) ||
    destParent === path.parse(destParent).root)
  ) return cb()
====
const destParent = path.dirname(dest)
 if (destParent && (destParent === path.dirname(src) || destParent === path.parse(destParent).root)) return";"const srcParent = path.resolve(path.dirname(src))
  const destParent = path.resolve(path.dirname(dest))
  if (destParent === srcParent || destParent === path.parse(destParent).root) return cb()
====
const srcParent = path.resolve(path.dirname(src))
  const destParent = path.resolve(path.dirname(dest))
  if (destParent === srcParent || destParent === path.parse(destParent).root) return";"no failure
===
1 failing

  1) util/stat
       should stop at src or root path and not throw max call stack size error
         stat.checkParentPathsSync():
     RangeError: Maximum call stack size exceeded
      at getStatsFromBinding (node:internal/fs/utils:515:29)
      at Object.statSync (node:fs:1676:10)
      at checkParentPathsSync (lib/util/stat.js:144:21)
      at checkParentPathsSync (lib/util/stat.js:155:10)
      at checkParentPathsSync (lib/util/stat.js:155:10)
      at checkParentPathsSync (lib/util/stat.js:155:10)
      at checkParentPathsSync (lib/util/stat.js:155:10)
      at checkParentPathsSync (lib/util/stat.js:155:10)
      at checkParentPathsSync (lib/util/stat.js:155:10)
      at checkParentPathsSync (lib/util/stat.js:155:10)";0;0;3;2;4;0;3;"OrigBug: 0
SameFail: 0
Superset: 3
Different: 2
Surviving: 4
Invalid: 0
Other: 3";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 4
Surviving: 3
Invalid: 0
Other: 4";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 3
Surviving: 3
Invalid: 0
Other: 3";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 3
Surviving: 4
Invalid: 1
Other: 4";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 4
Surviving: 2
Invalid: 0
Other: 4";"NOTE: disable ""xo"" in ""npm run test"" script; disable failing tests for invalid URLs";;;
hessian.js;hessian.js-4;https://bugsjs.github.io/;4;N/A;lib /v1/encoder.js;302;if (is.nullOrUndefined(obj)){;if (is.nullOrUndefined(obj) || (is.string(obj.$class && is.nullOrUndefined(obj.$))){ ;see json file;0;2;0;1;0;0;0;"OrigBug: 0
SameFail: 2
Superset: 0
Different: 1
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 0
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 0
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 0
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 1
Surviving: 0
Invalid: 0
Other: 0";;;;
hexo;hexo-12;https://bugsjs.github.io/;12;N/A;lib /hexo/post.js;50, 207;var slug = data.slug = slugize(data.slug, {transform: config.filename_case});"var slug = data.slug = slugize(data.slug.toString(), {transform: config.filename_case});";see json file;1;0;0;11;0;0;0;"OrigBug: 1
SameFail: 0
Superset: 0
Different: 11
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 0
Different: 9
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 9
Surviving: 3
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 0
Different: 9
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 0
Different: 9
Surviving: 1
Invalid: 0
Other: 0";;;;
htmlparser2;htmlparser2-746;https://github.com/fb55/htmlparser2;746;214ab08;src/Tokenizer.ts;370, 373;"            if (c === ""s"" || c === ""S"") {
====
} else if (c === ""t"" || c === ""T"") {";"if (this.special !== Special.Title && (c === ""s"" || c === ""S"")) {
====
 } else if (
                this.special === Special.Title &&
                (c === ""t"" || c === ""T"")
            ) {
                this._state = State.BeforeSpec";"o	FAIL  src/__tests__/events.ts
o	  ● Events › </title> in <script> (#745)
o	
o	    expect(received).toStrictEqual(expected) // deep equality
o	
o	    - Expected  - 1
o	    + Received  + 1
o	
o	    @@ -12,11 +12,11 @@
o	          ],
o	          ""event"": ""opentag"",
o	        },
o	        Object {
o	          ""data"": Array [
o	    -       ""'</title>'"",
o	    +       ""''"",
o	          ],
o	          ""event"": ""text"",
o	        },
o	        Object {
o	          ""data"": Array [
o	
o	       95 |             expect(actual).toMatchSnapshot();
o	       96 |         } else {
o	    >  97 |             expect(actual).toStrictEqual(file.expected);
o	          |                            ^
o	       98 |         }
o	       99 | 
o	      100 |         if (repeated) done();
o	
o	      at src/__fixtures__/test-helper.ts:97:28
o	      at onend (src/__fixtures__/test-helper.ts:48:13)
o	      at CollectingHandler.func (src/CollectingHandler.ts:12:49)
o	      at CollectingHandler.MultiplexHandler.onend (src/MultiplexHandler.ts:55:14)
o	      at Parser.onend (src/Parser.ts:426:23)
o	      at Tokenizer.finish (src/Tokenizer.ts:892:18)
o	      at Tokenizer.end (src/Tokenizer.ts:283:32)
o	      at Parser.end (src/Parser.ts:468:24)
o	      at Object.writeToParser (src/__fixtures__/test-helper.ts:25:12)
o	      at src/__tests__/events.ts:4:12";0;0;1;3;1;1;0;"OrigBug: 0
SameFail: 0
Superset: 1
Different: 3
Surviving: 1
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 4
Surviving: 0
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 3
Surviving: 0
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 3
Surviving: 0
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 3
Surviving: 0
Invalid: 2
Other: 0";;;;
htmlparser2;htmlparser2-913;https://github.com/fb55/htmlparser2;913;04c411c;src/Parser.ts;289;"this.updatePosition(1);";"this.updatePosition(2);";" ● API › should update the position

    expect(received).toBe(expected) // Object.is equality

    Expected: 19
    Received: 20

      102 |         p.parseChunk(""</select>"");
      103 |
    > 104 |         expect(p.startIndex).toBe(19);
          |                              ^
      105 |         expect(p.endIndex).toBe(27);
      106 |     });
      107 |

      at Object.<anonymous> (src/Parser.spec.ts:104:30)

Test Suites: 1 failed, 6 passed, 7 total
Tests:       1 failed, 63 passed, 64 total
Snapshots:   10 passed, 10 total
Time:        2.768 s, estimated 3 s";1;0;0;1;0;2;0;"OrigBug: 1
SameFail: 0
Superset: 0
Different: 1
Surviving: 0
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 3
Surviving: 0
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 3
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 3
Surviving: 0
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 3
Surviving: 0
Invalid: 1
Other: 0";;;;
jsdiff;jsdiff-94;https://github.com/kpdecker/jsdiff;94;d76ac52;src/diff/base.js;75, 79;"if (lines.length == 0 && !oldEOFNewline) {
              // special case: old has no eol and no trailing context; no-nl can end up before adds
              curRange.splice(hunk.oldLines, 0, '\\ No newline at end of file');
            } else if (!oldEOFNewline || !newEOFNewline) {";"let noNlBeforeAdds = lines.length == 0 && curRange.length > hunk.oldLines;
            if (!oldEOFNewline && noNlBeforeAdds) {
              // special case: old has no eol and no trailing context; no-nl can end up before adds
              curRange.splice(hunk.oldLines, 0, '\\ No newline at end of file');
            }
            if ((!oldEOFNewline && !noNlBeforeAdds) || !newEOFNewline) {";" 2 failing

  1) patch/create #createPatch should output ""no newline"" at end of file message on both missing nl:

      AssertionError: expected 'Index: test\n===================================================================\n--- test\theader1\n+++ test\theader2\n@@ -1,4 +1,4 @@\n line1\n line2\n line3\n-line4\n\\ No newline at end of file\n+line44\n' to equal 'Index: test\n===================================================================\n--- test\theader1\n+++ test\theader2\n@@ -1,4 +1,4 @@\n line1\n line2\n line3\n-line4\n\\ No newline at end of file\n+line44\n\\ No newline at end of file\n'
      + expected - actual

        line3
       -line4
       +line44
      +\ No newline at end of file
      
      at Context.<anonymous> (test/patch/create.js:93:121)
      at processImmediate (node:internal/timers:483:21)

  2) patch/create #createPatch should output only one ""no newline"" at end of file message on empty file:

      AssertionError: expected 'Index: test\n===================================================================\n--- test\theader1\n+++ test\theader2\n@@ -1,0 +1,4 @@\n\\ No newline at end of file\n+line1\n+line2\n+line3\n+line4\n' to equal 'Index: test\n===================================================================\n--- test\theader1\n+++ test\theader2\n@@ -1,0 +1,4 @@\n\\ No newline at end of file\n+line1\n+line2\n+line3\n+line4\n\\ No newline at end of file\n'
      + expected - actual

       +line1
       +line2
       +line3
       +line4
      +\ No newline at end of file
      
      at Context.<anonymous> (test/patch/create.js:124:94)
      at processImmediate (node:internal/timers:483:21)";0;0;1;5;0;0;0;"OrigBug: 0
SameFail: 0
Superset: 1
Different: 5
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 3
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 3
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 3
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 4
Surviving: 0
Invalid: 0
Other: 0";;;;
jsdiff;jsdiff-118;https://github.com/kpdecker/jsdiff;118;4a899c0;src/patch/apply.js;84;(inserted code);"if (hunk.newLines == 0) { toPos++; }";"  1 failing

  1) patch/apply #applyPatch should erase a file:

      AssertionError: expected 'line1' to equal ''
      + expected - actual

      -line1
      
      at Context.<anonymous> (test/patch/apply.js:433:13)
      at processImmediate (node:internal/timers:483:21)";0;0;3;0;0;0;0;"OrigBug: 0
SameFail: 0
Superset: 3
Different: 0
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 0
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 0
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 1
Surviving: 0
Invalid: 0
Other: 0";;;;
jsdiff;jsdiff-217;https://github.com/kpdecker/jsdiff;217;6464b29;src/diff/word.js;36;"  let tokens = value.split(/(\s+|[()[\]{}'""]|\b)/);";"let tokens = value.split(/([^\S\r\n]+|[()[\]{}'""\r\n]|\b)/);";"1 failing

  1) WordDiff
       #diffWordsWithSpace
         should threat newline as separate token (issues #180, #211):

      AssertionError: expected 'foo<del>\n</del><ins>\n\n\n</ins>bar' to equal 'foo\n<ins>\n\n</ins>bar'
      + expected - actual

      -foo<del>
      -</del><ins>
      +foo
      +<ins>
       
      -
       </ins>bar
      
      at Context.<anonymous> (test/diff/word.js:1792:25)
      at process.processImmediate (node:internal/timers:483:21)";0;0;0;6;0;0;0;"OrigBug: 0
SameFail: 0
Superset: 0
Different: 6
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 5
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 6
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 6
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 6
Surviving: 0
Invalid: 0
Other: 0";;;;
jsdiff;jsdiff-493;https://github.com/kpdecker/jsdiff;493;f38e47d;src/diff/json.js;65;      if (obj.hasOwnProperty(key)) {;      if (Object.prototype.hasOwnProperty.call(obj, key)) {;"1 failing

  1) diff/json
       #canonicalize
         doesn't throw on Object.create(null):
     AssertionError: expected [Function] to not throw an error but 'TypeError: obj.hasOwnProperty is not a function' was thrown
      at Context.<anonymous> (test/diff/json.js:968:25)
      at process.processImmediate (node:internal/timers:483:21)";0;0;2;8;2;0;0;"OrigBug: 0
SameFail: 0
Superset: 2
Different: 8
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 7
Surviving: 3
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 8
Surviving: 2
Invalid: 0
Other: 1";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 7
Surviving: 2
Invalid: 0
Other: 1";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 8
Surviving: 3
Invalid: 0
Other: 0";"build with ""yarn""; run tests using ""yarn test""";;;
karma;karma-4;https://bugsjs.github.io/;4;N/A;lib /reporter. Js;46;file && file .sourceMap;file && file .sourceMap && line;see json file;1;0;0;1;1;0;0;"OrigBug: 1
SameFail: 0
Superset: 0
Different: 1
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 0
Different: 1
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 1
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 0
Surviving: 0
Invalid: 0
Other: 0";;;;
memfs;memfs-59;https://github.com/streamich/memfs;59;b90c016;src/volume.ts;847;        if(node.isDirectory());        if(node.isDirectory() && (flagsNum !== FLAGS.r));" RUNS  src/__tests__/volume/WriteStream.test.ts
 RUNS  src/__tests__/volume/ReadStream.test.ts

Test Suites: 18 passed, 18 of 20 total
Tests:       19 skipped, 141 passed, 160 total
Snapshots:   4 passed, 4 total
Time:        2sError [ERR_UNHANDLED_ERROR]: Unhandled error. (TypeError: Cannot set property closed of [object Object] which has only a getter
    at class_2.Object.<anonymous>.ReadStream.close (/Users/franktip/git/mutation-testing-data/casestudy/memfs-870/memfs/src/volume.ts:2183:16)
    at class_2.Object.<anonymous>.ReadStream._destroy (/Users/franktip/git/mutation-testing-data/casestudy/memfs-870/memfs/src/volume.ts:2166:10)
    at _destroy (node:internal/streams/destroy:121:10)
    at class_2.destroy (node:internal/streams/destroy:83:5)
    at class_2.<anonymous> (/Users/franktip/git/mutation-testing-data/casestudy/memfs-870/memfs/src/volume.ts:2085:30)
    at class_2.emit (node:events:518:28)
    at endReadableNT (node:internal/streams/readable:1698:12)
    at processTicksAndRejections (node:internal/process/task_queues:82:21)
    at runNextTicks (node:internal/process/task_queues:64:3)
 FAIL  src/__tests__/volume/WriteStream.test.ts54:9))
  ● WriteStream › Can write basic file

    TypeError: Cannot set property closed of [object Object] which has only a getter
      
      at class_3.Object.<anonymous>.ReadStream.close (src/volume.ts:2183:16)
      at class_3.<anonymous> (src/volume.ts:2257:18)
      at Object.onceWrapper (node:events:632:28)
      at class_3.emit (node:events:530:35)
      at finish (node:internal/streams/writable:955:10)
      at node:internal/streams/writable:936:13
      at processTicksAndRejections (node:internal/process/task_queues:82:21)


 RUNS  src/__tests__/volume/ReadStream.test.ts";0;0;1;2;0;1;0;"OrigBug: 0
SameFail: 0
Superset: 1
Different: 2
Surviving: 0
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 2
Surviving: 0
Invalid: 0
Other: 1";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 1
Surviving: 0
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 1
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 1
Surviving: 0
Invalid: 0
Other: 1";"package.json, remove ""npm run lint &"" on line 32";;;
memfs;memfs-391;https://github.com/streamich/memfs;391;301f2d1;src/volume.ts;1884;"const fd = this.openSync(filename, 'r+');";"const fd = this.openSync(filename, 'r');";"Summary of all failing tests
 FAIL  src/__tests__/volume.test.ts
  ● volume › Volume › .utimesSync(path, atime, mtime) › Sets times on a directory

    EISDIR: illegal operation on a directory, open '/foo'

      126 |     case EACCES:
      127 |       return `EACCES: permission denied, ${func}${pathFormatted}`;
    > 128 |     case ENOTEMPTY:
          |                 ^
      129 |       return `ENOTEMPTY: directory not empty, ${func}${pathFormatted}`;
      130 |     case EMFILE:
      131 |       return `EMFILE: too many open files, ${func}${pathFormatted}`;

      at createError (src/volume.ts:128:17)
      at Volume.Object.<anonymous>.Volume.openLink (src/volume.ts:814:23)
      at Volume.Object.<anonymous>.Volume.openFile (src/volume.ts:853:25)
      at Volume.Object.<anonymous>.Volume.openBase (src/volume.ts:858:25)
      at Volume.Object.<anonymous>.Volume.openSync (src/volume.ts:869:21)
      at Volume.Object.<anonymous>.Volume.utimesBase (src/volume.ts:1538:23)
      at Volume.Object.<anonymous>.Volume.utimesSync (src/volume.ts:1547:14)
      at Object.<anonymous> (src/__tests__/volume.test.ts:960:21)";0;0;4;3;1;2;0;"OrigBug: 0
SameFail: 0
Superset: 4
Different: 3
Surviving: 1
Invalid: 2
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 4
Different: 2
Surviving: 1
Invalid: 5
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 2
Surviving: 1
Invalid: 5
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 2
Surviving: 1
Invalid: 5
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 3
Surviving: 1
Invalid: 5
Other: 0";;;;
memfs;memfs-853;https://github.com/streamich/memfs;853;8b021b3;src/volume.ts;1008;(inserted statement);"if (link && flagsNum & O_EXCL) throw createError(EEXIST, 'open', filename);";" FAIL  src/__tests__/volume.test.ts (7.136 s)
  ● volume › Volume › .open(path, flags[, mode], callback) › Error with exclude flag if file exists

    expect(received).toHaveProperty(path, value)

    Matcher error: received value must not be null nor undefined

    Received has value: null

      384 |     });
      385 |     describe('.open(path, flags[, mode], callback)', () => {
    > 386 |       const vol = new Volume();
          |                                 ^
      387 |       vol.mkdirSync('/test-dir');
      388 |       it('Create new file at root (/test.txt)', done => {
      389 |         vol.open('/test.txt', 'w', (err, fd) => {

      at src/__tests__/volume.test.ts:386:33
      at Immediate.<anonymous> (src/volume.ts:701:13)

  ● volume › Volume › .open(path, flags[, mode], callback) › Error with exclude flag if file exists

    thrown: ""Exceeded timeout of 5000 ms for a test.
    Use jest.setTimeout(newTimeout) to increase the timeout value, if this is a long-running test.""

      381 |         expect(fd2 !== fd3).toBe(true);
      382 |         expect(fd3 !== fd4).toBe(true);
    > 383 |       });
          |             ^
      384 |     });
      385 |     describe('.open(path, flags[, mode], callback)', () => {
      386 |       const vol = new Volume();

      at src/__tests__/volume.test.ts:383:13
      at src/__tests__/volume.test.ts:365:9
      at src/__tests__/volume.test.ts:31:5
      at Object.<anonymous> (src/__tests__/volume.test.ts:10:1)";0;1;1;5;6;2;0;"OrigBug: 0
SameFail: 1
Superset: 1
Different: 5
Surviving: 6
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 7
Surviving: 6
Invalid: 3
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 8
Surviving: 5
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 0
Different: 7
Surviving: 6
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 0
Different: 8
Surviving: 5
Invalid: 1
Other: 0";;;;
